ProgramType,IndicatorCategory,IndicatorName,IndicatorFunction,IndicatorParameter,ParameterArgument,Format,Target,IndicatorDomain,Definition,IndicatorType,IndicatorFooter
Housing Navigation Services,Days to Permanent Placement,Average Days to Permanent Placement,days_to_php,result_type,mean,{:.1f},120,Efficiency,Test Definition,smaller,
Housing Navigation Services,Days to Permanent Placement,Median Days to Permanent Placement,days_to_php,result_type,median,{:.0f},90,Efficiency,Test Definition,smaller,
Housing Navigation Services,Exit Destinations,% of Exits to Permanent Destinations,percent_exits_to_permanent_destination,,,{:.1%},0.7,Effectiveness,Test Definition,larger,
Housing Navigation Services,Exit Destinations,% of Exits to Homelessness,percent_exits_to_homelessness_habitation,,,{:.1%},0.05,Effectiveness,Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition Test Definition ,smaller,
Housing Navigation Services,Placement Preparations,% Document Ready,percent_document_ready,,,{:.1%},0.8,Effectiveness,Test Definition,larger,
Housing Navigation Services,Placement Preperations,% with HSP within 30 Days,percent_with_hsp_within_x_days,days,30,{:.1%},0.9,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Days to Placement,Average Days to Move-In,days_to_move_in,result_type,mean,{:.1f},30,Efficiency,Test Definition,smaller,
Rapid Rehousing Services,Days to Placement,Median Days to Move-In,days_to_move_in,result_type,median,{:.0f},15,Efficiency,Test Definition,smaller,
Rapid Rehousing Services,Timeliness of Placement,% Housed within 30 days,percent_housed_within_x_days,days,30,{:.1%},0.8,Efficiency,Test Definition,larger,
Rapid Rehousing Services,Timeliness of Placement,% Housed within 60 days,percent_housed_within_x_days,days,60,{:.1%},0.85,Efficiency,Test Definition,larger,
Rapid Rehousing Services,Timeliness of Placement,% Housed within 90 days,percent_housed_within_x_days,days,90,{:.1%},0.9,Efficiency,Test Definition,larger,
Rapid Rehousing Services,Timeliness of Placement,% Housed within 120 days,percent_housed_within_x_days,days,120,{:.1%},0.95,Efficiency,Test Definition,larger,
Rapid Rehousing Services,Housing Retention,Housing Retention Rate - 3 Months,retention,retention_period,90,{:.1%},0.975,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Housing Retention,Housing Retention Rate - 6 Months,retention,retention_period,180,{:.1%},0.95,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Housing Retention,Housing Retention Rate - 9 Months,retention,retention_period,270,{:.1%},0.925,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Housing Retention,Housing Retention Rate - 12 Months,retention,retention_period,365,{:.1%},0.9,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Housing Retention,Housing Retention Rate - 18 Months,retention,retention_period,548,{:.1%},0.875,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Housing Retention,Housing Retention Rate - 24 Months,retention,retention_period,770,{:.1%},0.85,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Exit Destinations,% of Exits to Permanent Destinations,percent_exits_to_permanent_destination,,,{:.1%},0.85,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Exit Destinations,% of Exits to Non-Permanent Destinations,percent_exit_to_nonpermanent_destinations,,,{:.1%},0.1,Effectiveness,Test Definition,smaller,
Rapid Rehousing Services,Exit Destinations,% of Exits to Homelessness,percent_exits_to_homelessness,,,{:.1%},0.05,Effectiveness,Test Definition,smaller,
Rapid Rehousing Services,Income Increases,% with Any Income Increase,percent_income_increase,income_type,any,{:.1%},0.2,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Income Increases,% with Earned Income Increase,percent_income_increase,income_type,earned,{:.1%},0.1,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Income Increases,% with Benefit and Other Income Increase,percent_income_increase,income_type,benefit,{:.1%},0.1,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Placement Preparations,% Document Ready,percent_document_ready,,,{:.1%},0.95,Effectiveness,Test Definition,larger,
Rapid Rehousing Services,Placement Preperations,% with HSP within 30 Days,percent_with_hsp_within_x_days,days,30,{:.1%},0.9,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Days to Placement,Average Days to Move-In,days_to_move_in,result_type,mean,{:.1f},60,Efficiency,Test Definition,smaller,
Site Based Housing & Services,Days to Placement,Median Days to Move-In,days_to_move_in,result_type,median,{:.0f},30,Efficiency,Test Definition,smaller,
Site Based Housing & Services,Timeliness of Placement,% Housed within 30 days,percent_housed_within_x_days,days,30,{:.1%},0.7,Efficiency,Test Definition,larger,
Site Based Housing & Services,Timeliness of Placement,% Housed within 60 days,percent_housed_within_x_days,days,60,{:.1%},0.75,Efficiency,Test Definition,larger,
Site Based Housing & Services,Timeliness of Placement,% Housed within 90 days,percent_housed_within_x_days,days,90,{:.1%},0.8,Efficiency,Test Definition,larger,
Site Based Housing & Services,Timeliness of Placement,% Housed within 120 days,percent_housed_within_x_days,days,120,{:.1%},0.85,Efficiency,Test Definition,larger,
Site Based Housing & Services,Housing Retention,Housing Retention Rate - 3 Months,retention,retention_period,90,{:.1%},0.99,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Housing Retention,Housing Retention Rate - 6 Months,retention,retention_period,180,{:.1%},0.98,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Housing Retention,Housing Retention Rate - 9 Months,retention,retention_period,270,{:.1%},0.965,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Housing Retention,Housing Retention Rate - 12 Months,retention,retention_period,365,{:.1%},0.95,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Housing Retention,Housing Retention Rate - 18 Months,retention,retention_period,548,{:.1%},0.925,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Housing Retention,Housing Retention Rate - 24 Months,retention,retention_period,770,{:.1%},0.9,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Exit Destinations,% of Exits to Permanent Destinations,percent_exits_to_permanent_destination,,,{:.1%},0.5,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Exit Destinations,% of Exits to Non-Permanent Destinations,percent_exit_to_nonpermanent_destinations,,,{:.1%},0.1,Effectiveness,Test Definition,smaller,
Site Based Housing & Services,Exit Destinations,% of Exits to Homelessness,percent_exits_to_homelessness,,,{:.1%},0.05,Effectiveness,Test Definition,smaller,
Site Based Housing & Services,Income Increases,% with Any Income Increase,percent_income_increase,income_type,any,{:.1%},0.4,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Income Increases,% with Earned Income Increase,percent_income_increase,income_type,earned,{:.1%},0.05,Effectiveness,Test Definition,larger,
Site Based Housing & Services,Income Increases,% with Benefit and Other Income Increase,percent_income_increase,income_type,benefit,{:.1%},0.35,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Days to Placement,Average Days to Move-In,days_to_move_in,result_type,mean,{:.1f},180,Efficiency,Test Definition,smaller,
Scattered Site Housing & Services,Days to Placement,Median Days to Move-In,days_to_move_in,result_type,median,{:.1f},90,Efficiency,Test Definition,smaller,
Scattered Site Housing & Services,Timeliness of Placement,% Housed within 30 days,percent_housed_within_x_days,days,30,{:.1%},0.5,Efficiency,Test Definition,larger,
Scattered Site Housing & Services,Timeliness of Placement,% Housed within 60 days,percent_housed_within_x_days,days,60,{:.1%},0.6,Efficiency,Test Definition,larger,
Scattered Site Housing & Services,Timeliness of Placement,% Housed within 90 days,percent_housed_within_x_days,days,90,{:.1%},0.7,Efficiency,Test Definition,larger,
Scattered Site Housing & Services,Timeliness of Placement,% Housed within 120 days,percent_housed_within_x_days,days,120,{:.1%},0.8,Efficiency,Test Definition,larger,
Scattered Site Housing & Services,Housing Retention,Housing Retention Rate - 3 Months,retention,retention_period,90,{:.1%},0.98,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Housing Retention,Housing Retention Rate - 6 Months,retention,retention_period,180,{:.1%},0.97,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Housing Retention,Housing Retention Rate - 9 Months,retention,retention_period,270,{:.1%},0.95,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Housing Retention,Housing Retention Rate - 12 Months,retention,retention_period,365,{:.1%},0.925,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Housing Retention,Housing Retention Rate - 18 Months,retention,retention_period,548,{:.1%},0.9,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Housing Retention,Housing Retention Rate - 24 Months,retention,retention_period,770,{:.1%},0.875,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Exit Destinations,% of Exits to Permanent Destinations,percent_exits_to_permanent_destination,,,{:.1%},0.5,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Exit Destinations,% of Exits to Non-Permanent Destinations,percent_exit_to_nonpermanent_destinations,,,{:.1%},0.1,Effectiveness,Test Definition,smaller,
Scattered Site Housing & Services,Exit Destinations,% of Exits to Homelessness,percent_exits_to_homelessness,,,{:.1%},0.05,Effectiveness,Test Definition,smaller,
Scattered Site Housing & Services,Income Increases,% with Any Income Increase,percent_income_increase,income_type,any,{:.1%},0.25,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Income Increases,% with Earned Income Increase,percent_income_increase,income_type,earned,{:.1%},0.05,Effectiveness,Test Definition,larger,
Scattered Site Housing & Services,Income Increases,% with Benefit and Other Income Increase,percent_income_increase,income_type,benefit,{:.1%},0.2,Effectiveness,Test Definition,larger,
Prevention & Diversion Services,Days to Permanent Placement,Average Days to Permanent Destination,days_to_permanent_destination,result_type,mean,{:.1f},60,Efficiency,Test Definition,smaller,
Prevention & Diversion Services,Days to Permanent Placement,Median Days to Permanent Destination,days_to_permanent_destination,result_type,median,{:.1f},30,Efficiency,Test Definition,smaller,
Prevention & Diversion Services,Exit Destinations,% of Exits to Permanent Destinations,percent_exits_to_permanent_destination,,,{:.1%},0.9,Effectiveness,Test Definition,larger,
Prevention & Diversion Services,Exit Destinations,% of Exits to Non-Permanent Destinations,percent_exit_to_nonpermanent_destinations,,,{:.1%},0.1,Effectiveness,Test Definition,smaller,
Prevention & Diversion Services,Exit Destinations,% of Exits to Homelessness,percent_exits_to_homelessness,,,{:.1%},0.05,Effectiveness,Test Definition,smaller,
Care Coordination,,Coming Soon!,,,,,0,,Test Definition,,
Employment Services,,Coming Soon!,,,,,0,,Test Definition,,
Housing & Landlord Partnerships,,Coming Soon!,,,,,0,,Test Definition,,
Behavioral Health Services,,Coming Soon!,,,,,0,,Test Definition,,
Access Center Services,,Coming Soon!,,,,,0,,Test Definition,,
