RegionFull,RegionShort,Department,ProgramType,GrantCode,ContractName,ProgramID,IndicatorName,IndicatorTarget,IndicatorFunction,FunctionLocation,IndicatorParameter,ParameterArgument,Format,ReportingCadence
Los Angeles County,LA,Families,Prevention & Diversion Services,"160-6,161-5,161-6",PATH - Homelessness Prevention SPA 4 ,1589,Remained Housed After 6 Months,0.8,,,,,{:.1%},
Orange County,OC,Orange County,Interim Housing Services,800,"Transitional Housing Services, City of Plancentia",397,transition to permanent housing,0.6,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Orange County,OC,Orange County,Interim Housing Services,801,Yale Navigation Center,528,"of the participants enrolled in the program during the reporting window, participanted connected to the CES within 30 days of program enrollment",0.9,,,,,,
Orange County,OC,Orange County,Interim Housing Services,801,Yale Navigation Center,528,occupancy average,0.95,,,,,{:.1%},
Orange County,OC,Orange County,Interim Housing Services,801,Yale Navigation Center,528,"solicit participant feedback to assess program operation changes to better support and meet the needs of participants and evaluate how to best meet above performance outcomes. Can include exit interviews, surveys, focus groups and program meetings",annually,,,,,,yearly
Los Angeles County,LA,Families,Interim Housing Services,160-8,Crisis Housing for Families SPA 4,2404,Ensure HMIS Data Accuracy,0.95,personal_data_quality,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-8,Crisis Housing for Families SPA 4,2404,Exits to Successful Housing Destination,0.2,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-8,Crisis Housing for Families SPA 4,2404,Occupancy Rate,0.95,utilization_rate,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,"161-2,161-4",2021-2022 PATH Crisis Housing DPSS-Family-SPA-4-NonWTW/WTW,4656,Contracted to Serve,84,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Interim Housing Services,"161-2,161-4",2021-2022 PATH Crisis Housing DPSS-Family-SPA-4-NonWTW/WTW,4656,Ensure HMIS Data Accuracy,0.95,personal_data_quality,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,"161-2,161-4",2021-2022 PATH Crisis Housing DPSS-Family-SPA-4-NonWTW/WTW,4656,Exits to Permanent Housing Destination,0.2,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,"161-2,161-4",2021-2022 PATH Crisis Housing DPSS-Family-SPA-4-NonWTW/WTW,4656,Occupancy Rate,0.95,utilization_rate,measure_definitions_2024,,,{:.1%},
Orange County,OC,Orange County,Interim Housing Services,801,Yale Navigation Center,528,"particiapnts will engaged in the development of service/housing plans to include housing, medical, behavioral health, benefits, and/or emplyment services",reporting only,,,,,{:.1%},
Los Angeles County,LA,Families,Prevention & Diversion Services,"160-6,161-5,161-6",PATH - Homelessness Prevention SPA 4 ,1589,Contracted to Serve,129,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Prevention & Diversion Services,"160-6,161-5,161-6",PATH - Homelessness Prevention SPA 4,1589,Exited to Permanent Housing Destination,0.75,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Prevention & Diversion Services,170-2,LACDA BFH Prevention SPA 4,5821,# of participants that retained housing at 12 months after program exit,reporting only,retention,measure_definitions_2024,retention_period,365,{:.0f},
Orange County,OC,Orange County,Interim Housing Services,801,Yale Navigation Center,528,exits to permanent housing: participants exit to a premanent housing destination upon shelter program exit,0.3,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Orange County,OC,Orange County,Pet Assistance,804,HDC Pet Assistance and Support - Placentia,N/A,None Specified - full contract in contract safe,not specified,,,,,,
Los Angeles County,LA,Families,Prevention & Diversion Services,160-10,Problem Solving - SPA 4,2894,Contracted to Serve,600,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Prevention & Diversion Services,160-10,Problem Solving - SPA 4,2894,"Enrolled Households who received Problem-Solving Assistance ""Successful Housed (Diverted)"" without financial assistance",0.05,,,,,{:.1%},
Los Angeles County,LA,Families,Prevention & Diversion Services,170-2,LACDA BFH Prevention SPA 4,5821,# of participants served,reporting only,active_clients,measure_definitions_2024,,,{:.0f},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Participants will have a higher income than at program entry due to employment and/or mainstream benefits,0.45,any_income_increase_counts,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Rapid Rehousing Services,"160-4,160-5",Time Limited Subsidies - Families SPA 4 ,5341,Remained Housed After 6 Months of Housing Placement,0.85,retention,measure_definitions_2024,retention_period,182,{:.1%},
Los Angeles County,LA,Families,Rapid Rehousing Services,155,1736 RRH DV,5341,Contracted to Serve,15,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Rapid Rehousing Services,"160-4,160-5",Time Limited Subsidies - Families SPA 4 ,5341,Contracted to Serve,60,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Rapid Rehousing Services,"161-1,161-3",Time-Limited Subsidies - Families-SPA 4- NonWTW/WTW,5341,Remained Housed After 6 Months of Housing Placement,0.85,retention,measure_definitions_2024,retention_period,182,{:.1%},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Participants enrolled who will have an Individualized Housing and Service Plan within 30 calendar days of enrollment,1,,,,,{:.1%},
San Diego County,SD,San Diego,Access Center Services,616,SDHC Homelessness Response Center,883,Total persons served by system navigation services,400,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Access Center Services,616,SDHC Homelessness Response Center,883,total households served,reporting only,active_household,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Rapid Rehousing Services,"160-4,160-5",Time Limited Subsidies - Families SPA 4,5341,Increased Income from All Sources,0.15,any_income_increase_counts,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Rapid Rehousing Services,"160-4,160-5",Time Limited Subsidies - Families SPA 4 ,5341,Moved Into Housing Within 120 Days of Program Enrollment,0.7,percent_housed_within_x_days,measure_definitions_2024,days,120,{:.1%},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Contracted to Serve total,175,active_clients,measure_definitions_2024,,,{:.0f},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Contracted to serve in South SPA,25,active_clients,measure_definitions_2024,location,South SPA,{:.0f},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Contracted to Serve in North SPA,75,active_clients,measure_definitions_2024,location,North SPA,{:.0f},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Contracted to serve in Central SPA,75,active_clients,measure_definitions_2024,location,Central SPA,{:.0f},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Participants enrolled during the reoprting period will exit to a permanent housing destination,0.85,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
San Diego County,SD,San Diego,Site Based Housing & Services,631,East Village (Link) Supportive Housing,666,length of time residents have retained their housing- report annually,reporting only,average_retention_days,KPI_measures_2024,,,{:.0f},yearly
Los Angeles County,LA,Families,Rapid Rehousing Services,"160-4,160-5",Time Limited Subsidies - Families SPA 4,5341,Exited to Permanent Housing Destination,0.6,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Orange County,OC,Orange County,Rapid Rehousing Services,805,Rapid Rehousing Services for Individuals,713,Participants enrolled during the reporting period who move in to permanent housing destinations within 90 days of enrollment,0.5,percent_housed_within_x_days,measure_definitions_2024,days,90,{:.1%},
San Diego County,SD,San Diego,Site Based Housing & Services,633,Zephyr Grantville Veterans Grant,549,length of time residents have retained their housing- report annually,reporting only,average_retention_days,KPI_measures_2024,,,{:.0f},yearly
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727","disability benefit approval, inclusive of initial applications, reconsideration request, and/or appeals and hearing processes",0.4,,,,,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",participants will have higher income than at program entry due to employment and/or mainstream benefits,0.5,any_income_increase_counts,measure_definitions_2024,,,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",Participants will transition to a permanent housing destination,0.5,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727","of participants who move in to a permanent housing destination, do so within 120 days of enrollment to the program",0.5,percent_housed_within_x_days,measure_definitions_2024,days,120,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",Participants will enroll into an emergency shelter or temporary housing destination while enrolled in the program,0.5,,,,,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727","Of the participants who have a disability and are not receiving disability benefits enrolled in the program during the reporting window, participants will have submitted a disability benefit application or appeal within 120 days of program enrollment",0.9,,,,,{:.0f},
Los Angeles County,LA,Families,Rapid Rehousing Services,"161-1,161-3",Time-Limited Subsidies - Families-SPA 4- NonWTW/WTW,5341,Contracted to Serve,280,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Rapid Rehousing Services,"161-1,161-3",Time-Limited Subsidies - Families-SPA 4- NonWTW/WTW,5341,Exits to Permanent Housing Destination,0.6,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Rapid Rehousing Services,"161-1,161-3",Time-Limited Subsidies - Families-SPA 4- NonWTW/WTW,5341,Increased Income from All Sources,0.15,any_income_increase_counts,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Rapid Rehousing Services,"161-1,161-3",Time-Limited Subsidies - Families-SPA 4- NonWTW/WTW,5341,Moved Into Housing Within 120 Days of Program Enrollment,0.7,percent_housed_within_x_days,measure_definitions_2024,days,120,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",Participants will have an Individualized Housing and Service Plan within 30 calendar days of enrollment,0.9,percent_with_hsp_within_x_days,measure_definitions_2024,days,30,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",Encampment resolution funds must be expended by June 30 2024,1,,,,,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727","maintain unduplicated, eligible participants in a case load per manager",25/1,,,,,,
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",Participants will be connected to the CES within 30 calendar days of program enrollment,30,,,,,,
San Diego County,SD,San Diego,Site Based Housing & Services,639,Affirmed Connections Services Staffing,N/A,length of time residents have retained their housing- report annually,reporting only,average_retention_days,KPI_measures_2024,,,{:.0f},yearly
Los Angeles County,LA,Families,Rapid Rehousing Services,170-1,LACDA BFH RRH SPA 4,2714,# and % of participants that retained housing at 12 months after program exit,reporting only,retention,measure_definitions_2024,retention_period,365,{:.1%},
Los Angeles County,LA,Families,Rapid Rehousing Services,170-1,LACDA BFH RRH SPA 4,2714,# and % of enrolled participants that were housed,reporting only,movein_php_count,measure_definitions_2024,,,{:.1%},
San Diego County,SD,San Diego,Supportive Services,667,Cypress Services Operating Agreement,N/A,Length of time residents have retained their housing,reporting only,average_retention_days,KPI_measures_2024,,,{:.0f},yearly
Los Angeles County,LA,Metro LA,Prevention & Diversion Services,"200-3,200-8",Metro LA Prevention,3383,Remained Housed After 6 Months,0.8,retention,measure_definitions_2024,retention_period,182,{:.1%},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",individuals will be served during the duration of the funding agreement (Oct 15 2022-June 30-2023),60,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Housing & Landlord Partnerships,607,SDHC Housing Specialist,N/A,Persons served,reporting only,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Outreach Services,640,RTFH HHAP,909,EOT program enrollment in HMIS,90,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Outreach Services,640,RTFH HHAP,909,Unduplicated # of homeless persons assisted,90,active_clients,measure_definitions_2024,,,{:.0f},
Orange County,OC,Orange County,Care Coordination Services,806,Regional Street Outreach Care Coordination,"725,726,727",Contracted to serve,900,active_clients,measure_definitions_2024,,,"{:,}",
San Diego County,SD,San Diego,Outreach Services,662,SD Coordinated Street Outreach,"791,792",Number of individuals/ households serves (unique and aggregated),reporting only,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Outreach Services,664,SDHC-Multidisciplinary Outreach,1172,# persons served,reporting only,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Rapid Rehousing Services,642,County of SD ESG Homelessness Prevention & RRH Program,"781,782",# of homeless persons served during the month/quarter,reporting only,active_clients,measure_definitions_2024,,,{:.0f},"quarterly, yearly"
San Diego County,SD,San Diego,Access Center Services,616,SDHC Homelessness Response Center,883,% of Adults served with system navigation services who maintained or increased earned income from entry to exit,reporting only,earned_income_increase_counts,measure_definitions_2024,,,{:.1%},
San Diego County,SD,San Diego,Access Center Services,616,SDHC Homelessness Response Center,883,% of Adults served with system navigation services who maintained or increased any income from start to exit,reporting only,earned_income_increase_counts,measure_definitions_2024,,,{:.1%},
San Diego County,SD,San Diego,Rapid Rehousing Services,642,County of SD ESG Homelessness Prevention & RRH Program,"781,782","# of unsheltered homeless persons served, and the average length of time spent as homeless before entry into the program during the month/quarter",reporting only,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Rapid Rehousing Services,642,County of SD ESG Homelessness Prevention & RRH Program,"781,782",# of homeless persons served during the year (annual),reporting only,active_clients,measure_definitions_2024,,,{:.0f},yearly
San Diego County,SD,San Diego,Rapid Rehousing Services,642,County of SD ESG Homelessness Prevention & RRH Program,"781,782",Number of unsheltered homeless persons served during the year and the average length of time spent as homeless before entry into the program,reporting only,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Rapid Rehousing Services,170-1,LACDA BFH RRH SPA 4,2714,# and % of participants with increased income from all potential sources at program exit,reporting only,any_income_increase_counts,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Rapid Rehousing Services,170-1,LACDA BFH RRH SPA 4,2714,average # of days from enrollment to move-in to permanent housing,reporting only,days_to_move_in,measure_definitions_2024,result_type,mean,{:.0f},
Santa Barbara County,SB,Santa Barbara,Interim Housing Services,853,County of SB - Shelter Operations,185,unduplicated number of persons served,750,active_clients,measure_definitions_2024,,,{:.0f},
Santa Barbara County,SB,Santa Barbara,Outreach Services,876,SB- Encampment Resolution alone the Transit Corridor,373,totale unduplicated number of persons served,36,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Access Center Services,616,SDHC Homelessness Response Center,883,Resource referrals provided to Program Clients by front-desk staff,reporting only,,,,,{:.0f},
San Diego County,SD,San Diego,Access Center Services,616,SDHC Homelessness Response Center,883,Total visits to Program Site per month,reporting only,,,,,{:.0f},monthly
Los Angeles County,LA,Families,Rapid Rehousing Services,170-1,LACDA BFH RRH SPA 4,2714,Number of Participants Served,reporting only,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Regional Coordination,160-1,Regional Coordination - Family - SPA 4,N/A,None Specified - FY24 contract says KPIs no change from prior year. No KPIs listed in previous years contract or EGMS,not specified,,,,,,
Los Angeles County,LA,Families,Regional Coordination,160-2,DV Regional Coordination CES for Families - SPA 4,N/A,Bridge Housing Beds,15,,,,,{:.0f},
Los Angeles County,LA,Families,Regional Coordination,160-2,DV Regional Coordination CES for Families - SPA 4,N/A,Crisis Housing Beds,62,,,,,{:.0f},
Los Angeles County,LA,Families,Regional Coordination,160-2,DV Regional Coordination CES for Families - SPA 4,N/A,Increased Partnerships within each SPA,0.05,,,,,{:.1%},
Los Angeles County,LA,Families,Regional Coordination,160-2,DV Regional Coordination CES for Families - SPA 4,N/A,Occupancy Rate,0.95,utilization_rate,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Regional Coordination,160-2,DV Regional Coordination CES for Families - SPA 4,N/A,Reduce Time between Assessment and PH,reporting only,,,,,{:.0f},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,enrolled veterans will experience reducedjustice involvement as measuredby an increasein the number of days lived out of custody and in the community compared to the prior twelve (12) months,0.5,,,,,{:.1%},yearly
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,"enrolled veterans initially housed in an emergency housing location (hotel,shelter, etc.), will have a housing plan in place to transition to a safe and secure housing situation(transitional housing, recovery residence, sober living, independent living facility, apartment, etc.) within14 days of placement in an emergency housing location",0.75,,,,,{:.1%},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,enrolled veterans will establish a primary care physician within 30 days ofrelease fromjail or after enrollment ifreferred from the community.,0.75,,,,,{:.1%},
Los Angeles County,LA,Housing & Landlord Partnerships,Housing & Landlord Partnerships,490,Lease Up,N/A,Units aquired resulted in an occupancy,0.75,,,,,{:.1%},
Los Angeles County,LA,Housing & Landlord Partnerships,Housing & Landlord Partnerships,490,Lease Up,N/A,Units with holding fees resulted in an occupancy,0.9,,,,,{:.1%},
Los Angeles County,LA,Housing & Landlord Partnerships,Housing & Landlord Partnerships,491,RPSS,N/A,Aquire allocated units,0.75,,,,,{:.1%},
Los Angeles County,LA,Housing & Landlord Partnerships,Housing & Landlord Partnerships,491,RPSS,N/A,"By FY26-27, units acquired and active under agreement",1700,,,,,,
Los Angeles County,LA,Housing & Landlord Partnerships,Housing & Landlord Partnerships,491,RPSS,N/A,Maintain occupancy rate of the total number of units acquired and under agreement,0.95,,,,,{:.1%},
Los Angeles County,LA,Housing & Landlord Partnerships,Housing & Landlord Partnerships,491,RPSS,N/A,Units acquired and actively under agreement per SPA,75,,,,,{:.0f},
Santa Clara County,SCC,Santa Clara,Interim Housing Services,681,Evans Lane InterimHousing,1048,Unduplicated participants,40,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,"enrolled veterans will be connected, via a warm handoff to an appropriate mentalhealth and/or substance use treatment provider that provides ongoing treatment within 30 days of release fromjail. If a participant declines treatment, documentation of all attempts to connect the participant to treatmentservices must be placed in the participant’s case file to support the effort was made to connect the participant toservices",0.85,,,,,{:.1%},
Los Angeles County,LA,Metro LA,Housing Navigation Services,200-1,SPA 4 Housing Navigation ,1769,Completed Housing Stability Plan within 30 days of enrollment,0.8,percent_with_hsp_within_x_days,measure_definitions_2024,days,30,{:.1%},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,enrolled veterans will have a Comprehensive Care Plan completed within 14 days of enrollment ,0.9,,,,,{:.1%},
Los Angeles County,LA,Metro LA,Housing Navigation Services,200-1,SPA 4 Housing Navigation ,1769,Contracted to Serve,140,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Metro LA,Housing Navigation Services,200-1,SPA 4 Housing Navigation ,1769,Exited to a Permanent Housing Destination or Attained Referral for RRH and/or HSPP,0.6,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,205,PATH-BHRIH Adults SPA 4 (Highland Gardens),5705,Average nightly bed utilization rate,0.95,utilization_rate,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,205,PATH-BHRIH Adults SPA 4 (Highland Gardens),5705,Exits to Permanent Housing Destination,0.4,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,218,RHC Interim,1494,Case management services provided,reporting only,,,,,{:.0f},
Los Angeles County,LA,Metro LA,Interim Housing Services,218,RHC Interim,1494,Client demographics,reporting only,,,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,218,RHC Interim,1494,Housing placement,reporting only,,,,,{:.0f},
Los Angeles County,LA,Metro LA,Interim Housing Services,218,RHC Interim,1494,Move-in assistance provided,reporting only,,,,,{:.0f},
Los Angeles County,LA,Metro LA,Interim Housing Services,218,RHC Interim,1494,Referral source data,reporting only,,,,,,
Los Angeles County,LA,Metro LA,Interim Housing Services,218,RHC Interim,1494,Referrals and linkages made,reporting only,,,,,{:.0f},
Los Angeles County,LA,Metro LA,Interim Housing Services,229,YWCA Interim Youth ,3606,Average Nightly Bed Utilization Rate - night by night,0.85,utilization_rate,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,229,YWCA Interim Youth ,3606,Contracted to Serve,53,active_clients,measure_definitions_2024,,,{:.0f},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,Veterans enrolled in the program will have a housing option available to them on the day they are released from jail or within 5 days of being referred from the community,0.9,,,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,229,YWCA Interim Youth ,3606,Ensure HMIS Data Accuracy,0.95,personal_data_quality,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,229,YWCA Interim Youth ,3606,Exited to Permanent Housing Destination,0.2,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,"enrolled veterans will have a Comprehensive Assessment completed within 10 days of enrollment in the program or prior to release from jail, whichever is sooner",0.9,,,,,{:.1%},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,"referred veterans will meet with Contractor within 7 days of referra; or prior to release from jail, whichever is sooner, to receive a program overview and be offered program enrollment",0.9,,,,,{:.1%},
San Diego County,SD,San Diego,Care Coordination Services,649,C3 Veterans,N/A,"enrolled veterans who are homeless or at-risk of homelessness will be assessedwith the region’s Common Assessment Tool, when appropriate, and information from this assessmenttool shall be entered into the Coordinated Entry System (CES) within the Homeless ManagementInformation System (HMIS).",0.9,,,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,230,YWCA Interim  ,2967,Average Nightly Bed Utilization Rate - night by night,0.85,utilization_rate,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,230,YWCA Interim  ,2967,Contracted to Serve,165,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Metro LA,Interim Housing Services,230,YWCA Interim  ,2967,Ensure HMIS Data Accuracy,0.95,personal_data_quality,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,230,YWCA Interim  ,2967,Exited to Permanent Housing Destination,0.4,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Metro LA,Interim Housing Services,231,RHC Interim ,1494,Average Nightly Bed Utilization Rate,0.85,utilization_rate,measure_definitions_2024,,,{:.1%},
